state,isInDistance,isRedLight,passedIntersection,distanceToGoal
0,0, 0, 0, 108 
1,0, 0, 0, 107 
2,0, 0, 0, 106 
3, 0, 0, 0, 105 
4, 0, 0, 0, 104 
5, 0, 0, 0, 103 
6, 0, 0, 0, 102 
7, 0, 0, 0, 101 
8, 0, 0, 0, 100 
9, 0, 0, 0, 99 
10, 0, 0, 0, 98 
11, 0, 0, 0, 97 
12, 0, 0, 0, 96 
13, 0, 0, 0, 95 
14, 0, 0, 0, 94 
15, 0, 0, 0, 93 
16, 0, 0, 0, 92 
17, 0, 0, 0, 91 
18, 0, 0, 0, 90 
19, 0, 0, 0, 89 
20, 0, 0, 0, 88 
21, 0, 0, 0, 87 
22, 0, 0, 0, 86 
23, 0, 0, 0, 85 
24, 0, 0, 0, 84 
25, 0, 0, 0, 83 
26, 0, 0, 0, 82 
27, 1, 1, 0, 81 
28, 1, 0, 0, 81 
29, 1, 1, 0, 80 
30, 1, 0, 0, 80 
31, 1, 1, 0, 79 
32, 1, 0, 0, 79 
33, 1, 1, 0, 78 
34, 0, 0, 0, 78 
35, 0, 0, 0, 77 
36, 0, 0, 0, 76 
37, 0, 0, 0, 75 
38, 0, 0, 0, 74 
39, 0, 0, 0, 73 
40, 0, 0, 0, 72 
41, 0, 0, 0, 71 
42, 0, 0, 0, 70 
43, 0, 0, 0, 69 
44, 0, 0, 0, 68 
45, 0, 0, 0, 67 
46, 0, 0, 0, 66 
47, 0, 0, 0, 65 
48, 0, 0, 0, 64 
49, 0, 0, 0, 63 
50, 0, 0, 0, 62 
51, 0, 0, 0, 61 
52, 0, 0, 0, 60 
53, 0, 0, 0, 59 
54, 0, 0, 0, 58 
55, 0, 0, 0, 57 
56, 0, 0, 0, 56 
57, 0, 0, 0, 55 
58, 0, 0, 0, 54 
59, 0, 0, 0, 53 
60, 0, 0, 0, 52 
61, 0, 0, 0, 51 
62, 0, 0, 0, 50 
63, 0, 0, 0, 49 
64, 0, 0, 0, 48 
65, 0, 0, 0, 47 
66, 0, 0, 0, 46 
67, 0, 0, 0, 45 
68, 0, 0, 0, 44 
69, 0, 0, 0, 43 
70, 0, 0, 0, 42 
71, 0, 0, 0, 41 
72, 0, 0, 0, 40 
73, 0, 0, 0, 39 
74, 0, 0, 0, 38 
75, 0, 0, 0, 37 
76, 0, 0, 0, 36 
77, 0, 0, 0, 35 
78, 0, 0, 0, 34 
79, 0, 0, 0, 33 
80, 0, 0, 0, 32 
81, 0, 0, 0, 31 
82, 0, 0, 0, 30 
83, 0, 0, 0, 29 
84, 0, 0, 0, 28 
85, 0, 0, 0, 27 
86, 0, 0, 0, 26 
87, 0, 0, 1, 25 

