state-action,transitions
0-1,{0}
1-1,{1}
2-1,{2}
3-1,{3}
4-1,{4}
5-1,{5}
6-1,{6}
7-1,{7}
8-1,{8}
9-1,{9}
10-1,{10}
11-1,{11}
12-1,{12}
13-1,{13}
14-1,{14}
15-1,{15}
16-1,{16}
17-1,{17}
18-1,{18}
19-1,{19}
20-1,{20}
21-1,{21}
22-1,{22}
23-1,{23}
24-1,{24}
25-1,{25}
26-1,{26}
27-1,"{27, 28}"
28-1,"{27, 28}"
29-1,"{29, 30}"
30-1,"{29, 30}"
32-1,"{32, 31}"
31-1,"{32, 31}"
33-1,"{33, 34}"
34-1,"{33, 34}"
35-1,{35}
36-1,{36}
37-1,{37}
38-1,{38}
39-1,{39}
40-1,{40}
41-1,{41}
42-1,{42}
43-1,{43}
44-1,{44}
45-1,{45}
46-1,{46}
47-1,{47}
48-1,{48}
49-1,{49}
50-1,{50}
51-1,{51}
52-1,{52}
53-1,{53}
54-1,{54}
55-1,{55}
56-1,{56}
57-1,{57}
58-1,{58}
59-1,{59}
60-1,{60}
61-1,{61}
62-1,{62}
63-1,{63}
64-1,{64}
65-1,{65}
66-1,{66}
67-1,{67}
68-1,{68}
69-1,{69}
70-1,{70}
71-1,{71}
72-1,{72}
73-1,{73}
74-1,{74}
75-1,{75}
76-1,{76}
77-1,{77}
78-1,{78}
79-1,{79}
80-1,{80}
81-1,{81}
82-1,{82}
83-1,{83}
84-1,{84}
85-1,{85}
86-1,{86}
87-1,{87}
0-0,{1}
1-0,{2}
2-0,{3}
3-0,{4}
4-0,{5}
5-0,{6}
6-0,{7}
7-0,{8}
8-0,{9}
9-0,{10}
10-0,{11}
11-0,{12}
12-0,{13}
13-0,{14}
14-0,{15}
15-0,{16}
16-0,{17}
17-0,{18}
18-0,{19}
19-0,{20}
20-0,{21}
21-0,{22}
22-0,{23}
23-0,{24}
24-0,{25}
25-0,{26}
26-0,"{27, 28}"
27-0,"{29, 30}"
28-0,"{29, 30}"
29-0,"{32, 31}"
30-0,"{32, 31}"
32-0,"{33, 34}"
31-0,"{33, 34}"
33-0,{35}
34-0,{35}
35-0,{36}
36-0,{37}
37-0,{38}
38-0,{39}
39-0,{40}
40-0,{41}
41-0,{42}
42-0,{43}
43-0,{44}
44-0,{45}
45-0,{46}
46-0,{47}
47-0,{48}
48-0,{49}
49-0,{50}
50-0,{51}
51-0,{52}
52-0,{53}
53-0,"{54, 55}"
54-0,{55}
55-0,"{56, 55}"
56-0,{57}
57-0,{58}
58-0,{59}
59-0,{60}
60-0,{61}
61-0,{62}
62-0,{63}
63-0,{64}
64-0,{65}
65-0,{66}
66-0,{67}
67-0,{68}
68-0,{69}
69-0,{70}
70-0,{71}
71-0,{72}
72-0,{73}
73-0,{74}
74-0,{75}
75-0,{76}
76-0,{77}
77-0,{78}
78-0,{79}
79-0,{80}
80-0,{81}
81-0,{82}
82-0,{83}
83-0,{84}
84-0,{85}
85-0,{86}
86-0,{87}
87-0,{88}
